latitude,longitude,station,county_code,county_name,lat/long,main_gps_county
57.6,21.7,station1,12,UNKNOWN,"57.6,21.7",0
57.6,22.2,station2,12,UNKNOWN,"57.6,22.2",0
57.6,22.7,station3,12,UNKNOWN,"57.6,22.7",0
57.6,23.2,station4,10,SAAREMAA,"57.6,23.2",0
57.6,23.7,station5,12,UNKNOWN,"57.6,23.7",0
57.6,24.2,station6,12,UNKNOWN,"57.6,24.2",0
57.6,24.7,station7,12,UNKNOWN,"57.6,24.7",1
57.6,25.2,station8,12,UNKNOWN,"57.6,25.2",0
57.6,25.7,station9,12,UNKNOWN,"57.6,25.7",0
57.6,26.2,station10,12,UNKNOWN,"57.6,26.2",0
57.6,26.7,station11,15,VÕRUMAA,"57.6,26.7",0
57.6,27.2,station12,15,VÕRUMAA,"57.6,27.2",0
57.6,27.7,station13,12,UNKNOWN,"57.6,27.7",0
57.6,28.2,station14,12,UNKNOWN,"57.6,28.2",0
57.9,21.7,station15,10,SAAREMAA,"57.9,21.7",0
57.9,22.2,station16,10,SAAREMAA,"57.9,22.2",0
57.9,22.7,station17,12,UNKNOWN,"57.9,22.7",0
57.9,23.2,station18,10,SAAREMAA,"57.9,23.2",0
57.9,23.7,station19,7,PÄRNUMAA,"57.9,23.7",0
57.9,24.2,station20,7,PÄRNUMAA,"57.9,24.2",0
57.9,24.7,station21,12,UNKNOWN,"57.9,24.7",0
57.9,25.2,station22,12,UNKNOWN,"57.9,25.2",0
57.9,25.7,station23,13,VALGAMAA,"57.9,25.7",0
57.9,26.2,station24,13,VALGAMAA,"57.9,26.2",1
57.9,26.7,station25,15,VÕRUMAA,"57.9,26.7",0
57.9,27.2,station26,15,VÕRUMAA,"57.9,27.2",1
57.9,27.7,station27,8,PÕLVAMAA,"57.9,27.7",0
57.9,28.2,station28,12,UNKNOWN,"57.9,28.2",0
58.2,21.7,station29,10,SAAREMAA,"58.2,21.7",0
58.2,22.2,station30,10,SAAREMAA,"58.2,22.2",1
58.2,22.7,station31,10,SAAREMAA,"58.2,22.7",0
58.2,23.2,station32,10,SAAREMAA,"58.2,23.2",0
58.2,23.7,station33,7,PÄRNUMAA,"58.2,23.7",0
58.2,24.2,station34,7,PÄRNUMAA,"58.2,24.2",0
58.2,24.7,station35,7,PÄRNUMAA,"58.2,24.7",1
58.2,25.2,station36,7,PÄRNUMAA,"58.2,25.2",0
58.2,25.7,station37,14,VILJANDIMAA,"58.2,25.7",1
58.2,26.2,station38,11,TARTUMAA,"58.2,26.2",0
58.2,26.7,station39,11,TARTUMAA,"58.2,26.7",1
58.2,27.2,station40,8,PÕLVAMAA,"58.2,27.2",1
58.2,27.7,station41,12,UNKNOWN,"58.2,27.7",0
58.2,28.2,station42,12,UNKNOWN,"58.2,28.2",0
58.5,21.7,station43,10,SAAREMAA,"58.5,21.7",0
58.5,22.2,station44,10,SAAREMAA,"58.5,22.2",0
58.5,22.7,station45,10,SAAREMAA,"58.5,22.7",0
58.5,23.2,station46,10,SAAREMAA,"58.5,23.2",0
58.5,23.7,station47,7,PÄRNUMAA,"58.5,23.7",0
58.5,24.2,station48,7,PÄRNUMAA,"58.5,24.2",0
58.5,24.7,station49,7,PÄRNUMAA,"58.5,24.7",0
58.5,25.2,station50,14,VILJANDIMAA,"58.5,25.2",0
58.5,25.7,station51,14,VILJANDIMAA,"58.5,25.7",0
58.5,26.2,station52,4,JÕGEVAMAA,"58.5,26.2",0
58.5,26.7,station53,11,TARTUMAA,"58.5,26.7",0
58.5,27.2,station54,11,TARTUMAA,"58.5,27.2",0
58.5,27.7,station55,12,UNKNOWN,"58.5,27.7",0
58.5,28.2,station56,12,UNKNOWN,"58.5,28.2",0
58.8,21.7,station57,1,HIIUMAA,"58.8,21.7",0
58.8,22.2,station58,1,HIIUMAA,"58.8,22.2",0
58.8,22.7,station59,1,HIIUMAA,"58.8,22.7",1
58.8,23.2,station60,1,HIIUMAA,"58.8,23.2",0
58.8,23.7,station61,6,LÄÄNEMAA,"58.8,23.7",1
58.8,24.2,station62,9,RAPLAMAA,"58.8,24.2",0
58.8,24.7,station63,9,RAPLAMAA,"58.8,24.7",0
58.8,25.2,station64,9,RAPLAMAA,"58.8,25.2",0
58.8,25.7,station65,3,JÄRVAMAA,"58.8,25.7",1
58.8,26.2,station66,4,JÕGEVAMAA,"58.8,26.2",1
