product_type,county,eic_count,installed_capacity,is_business,date,data_block_id
1,0,108,952.89,0,2021-09-01,2
2,0,17,166.4,0,2021-09-01,2
3,0,688,7207.88,0,2021-09-01,2
0,0,5,400.0,1,2021-09-01,2
1,0,43,1411.0,1,2021-09-01,2
3,0,265,13417.79,1,2021-09-01,2
1,0,108,952.89,0,2021-09-02,3
2,0,17,166.4,0,2021-09-02,3
3,0,688,7207.88,0,2021-09-02,3
0,0,5,400.0,1,2021-09-02,3
1,0,43,1411.0,1,2021-09-02,3
3,0,265,13417.79,1,2021-09-02,3
1,0,108,952.89,0,2021-09-03,4
2,0,17,166.4,0,2021-09-03,4
3,0,688,7207.88,0,2021-09-03,4
0,0,5,400.0,1,2021-09-03,4
1,0,43,1411.0,1,2021-09-03,4
3,0,265,13417.79,1,2021-09-03,4
1,0,108,952.89,0,2021-09-04,5
2,0,17,166.4,0,2021-09-04,5
3,0,688,7207.88,0,2021-09-04,5
0,0,5,400.0,1,2021-09-04,5
1,0,43,1411.0,1,2021-09-04,5
3,0,265,13417.79,1,2021-09-04,5
1,0,108,952.89,0,2021-09-05,6
2,0,17,166.4,0,2021-09-05,6
3,0,687,7199.88,0,2021-09-05,6
0,0,5,400.0,1,2021-09-05,6
1,0,43,1411.0,1,2021-09-05,6
3,0,265,13417.79,1,2021-09-05,6
1,0,108,952.89,0,2021-09-06,7
2,0,17,166.4,0,2021-09-06,7
3,0,687,7199.88,0,2021-09-06,7
0,0,5,400.0,1,2021-09-06,7
1,0,43,1411.0,1,2021-09-06,7
3,0,265,13417.79,1,2021-09-06,7
1,0,108,952.89,0,2021-09-07,8
2,0,17,166.4,0,2021-09-07,8
3,0,687,7199.88,0,2021-09-07,8
0,0,5,400.0,1,2021-09-07,8
1,0,43,1411.0,1,2021-09-07,8
3,0,265,13417.79,1,2021-09-07,8
1,0,108,952.89,0,2021-09-08,9
2,0,17,166.4,0,2021-09-08,9
3,0,687,7199.88,0,2021-09-08,9
0,0,5,400.0,1,2021-09-08,9
1,0,43,1411.0,1,2021-09-08,9
3,0,266,13467.79,1,2021-09-08,9
1,0,108,952.89,0,2021-09-09,10
