datetime,temperature,dewpoint,rain,snowfall,surface_pressure,cloudcover_total,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,winddirection_10m,shortwave_radiation,direct_solar_radiation,diffuse_radiation,latitude,longitude,data_block_id
2021-09-01 00:00:00,14.2,10.4,0.0,0.0,1010.2,34,37,1,2,6.055555555555555,347,0.0,0.0,0.0,59.4,24.7,1.0
2021-09-01 01:00:00,13.8,10.0,0.0,0.0,1010.1,17,14,2,10,5.638888888888889,347,0.0,0.0,0.0,59.4,24.7,1.0
2021-09-01 02:00:00,13.2,9.7,0.0,0.0,1009.8,6,7,0,0,5.25,339,0.0,0.0,0.0,59.4,24.7,1.0
2021-09-01 03:00:00,12.8,9.7,0.0,0.0,1009.7,5,2,1,8,4.972222222222222,332,0.0,0.0,0.0,59.4,24.7,1.0
2021-09-01 04:00:00,12.5,9.8,0.0,0.0,1009.4,3,2,1,1,4.777777777777778,327,0.0,0.0,0.0,59.4,24.7,1.0
2021-09-01 05:00:00,12.2,9.9,0.0,0.0,1009.1,16,13,7,0,4.75,325,0.0,0.0,0.0,59.4,24.7,1.0
2021-09-01 06:00:00,12.2,9.9,0.0,0.0,1008.8,20,22,1,0,5.138888888888889,327,10.0,4.0,6.0,59.4,24.7,1.0
2021-09-01 07:00:00,12.9,9.8,0.0,0.0,1008.9,14,16,0,0,5.361111111111111,331,77.0,40.0,37.0,59.4,24.7,1.0
2021-09-01 08:00:00,13.3,9.1,0.0,0.0,1008.8,12,13,0,0,6.166666666666667,335,182.0,110.0,72.0,59.4,24.7,1.0
2021-09-01 09:00:00,13.4,9.3,0.0,0.0,1008.9,11,12,1,0,6.361111111111111,334,317.0,229.0,88.0,59.4,24.7,1.0
2021-09-01 10:00:00,13.6,8.7,0.0,0.0,1008.9,12,7,9,0,6.305555555555555,331,396.0,311.0,85.0,59.4,24.7,1.0
2021-09-01 11:00:00,14.0,8.1,0.0,0.0,1008.8,21,18,8,1,6.694444444444445,325,479.0,369.0,110.0,59.4,24.7,2.0
2021-09-01 12:00:00,14.2,7.6,0.0,0.0,1008.8,27,12,27,0,6.5,326,511.0,414.0,97.0,59.4,24.7,2.0
2021-09-01 13:00:00,14.4,7.0,0.0,0.0,1008.6,38,14,42,0,6.694444444444445,325,520.0,372.0,148.0,59.4,24.7,2.0
2021-09-01 14:00:00,14.6,6.3,0.0,0.0,1008.5,42,17,45,0,7.0,323,500.0,372.0,128.0,59.4,24.7,2.0
2021-09-01 15:00:00,14.7,5.5,0.0,0.0,1008.1,31,14,31,0,6.944444444444445,320,409.0,311.0,98.0,59.4,24.7,2.0
2021-09-01 16:00:00,14.5,4.5,0.0,0.0,1007.9,36,3,56,0,7.305555555555555,319,296.0,203.0,93.0,59.4,24.7,2.0
2021-09-01 17:00:00,14.0,4.8,0.0,0.0,1007.8,44,12,56,0,7.388888888888889,324,216.0,136.0,80.0,59.4,24.7,2.0
2021-09-01 18:00:00,13.4,4.7,0.0,0.0,1007.7,47,17,53,0,6.722222222222222,332,119.0,61.0,58.0,59.4,24.7,2.0
2021-09-01 19:00:00,12.8,4.2,0.0,0.0,1007.8,56,34,42,0,6.416666666666667,339,44.0,20.0,24.0,59.4,24.7,2.0
